"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Altitude (m)"	"Altitude WGS84 (m)"	"Speed (m/s)"	"Direction (°)"	"Distance (km)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"	"Satellites"
5.817549770E-1	4.633126000E0	-7.416453390E1	2.545421905E3	2.566700195E3	NaN	NaN	0.000000000E0	4.048099899E1	1.000000000E0	-1.000000000E0
1.801168308E0	4.633126000E0	-7.416453390E1	2.545421905E3	2.566700195E3	NaN	NaN	3.988297706E-2	4.901399994E1	2.706599951E0	-1.000000000E0
8.362754977E0	4.633356667E0	-7.416425833E1	2.569622022E3	2.590900000E3	0.000000000E0	0.000000000E0	4.813335665E-2	7.200000000E1	2.133999939E2	5.000000000E0
9.362754977E0	4.633406667E0	-7.416420333E1	2.562222082E3	2.583500000E3	0.000000000E0	0.000000000E0	5.572152698E-2	6.190000153E1	1.513999939E2	6.000000000E0
1.036275498E1	4.633455000E0	-7.416415500E1	2.564622133E3	2.585900000E3	5.273843765E0	4.584999847E1	6.146536871E-2	7.800000191E0	1.438000031E2	6.000000000E0
1.136275498E1	4.633483333E0	-7.416411167E1	2.564622186E3	2.585900000E3	0.000000000E0	4.584999847E1	6.669810198E-2	7.500000000E0	1.415000000E2	9.000000000E0
1.236275498E1	4.633508333E0	-7.416407167E1	2.563522236E3	2.584800000E3	5.123545170E0	4.822999954E1	7.235959104E-2	7.199999809E0	1.350000000E2	9.000000000E0
1.336275498E1	4.633540000E0	-7.416403167E1	2.564022282E3	2.585300000E3	5.098838329E0	4.904999924E1	7.825875494E-2	7.099999905E0	1.338999939E2	1.000000000E1
1.436275498E1	4.633568333E0	-7.416398667E1	2.563022338E3	2.584300000E3	4.620146751E0	4.979000092E1	8.181163961E-2	5.800000191E0	1.155000000E2	1.000000000E1
1.536275498E1	4.633588333E0	-7.416396167E1	2.559222366E3	2.580500000E3	4.426610947E0	4.933000183E1	8.454099829E-2	4.500000000E0	1.050000000E2	1.000000000E1
1.636275498E1	4.633600000E0	-7.416394000E1	2.557122394E3	2.578400000E3	3.284957170E0	5.209999847E1	8.805555219E-2	4.300000191E0	9.669999695E1	1.100000000E1
1.736275498E1	4.633598333E0	-7.416390833E1	2.566422445E3	2.587700000E3	0.000000000E0	5.209999847E1	8.981312458E-2	3.799999952E0	9.450000000E1	1.200000000E1
