"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
6.626412900E-2	-1.235399991E-1	2.734709978E-1	2.010059953E-1	3.611812954E-1
7.119121000E-2	-1.291799992E-1	3.066700101E-1	2.420800030E-1	4.115054011E-1
7.611867200E-2	-1.208800003E-1	3.159280121E-1	2.607010007E-1	4.270684899E-1
8.104659500E-2	-1.155600026E-1	3.365710080E-1	2.911339998E-1	4.597751227E-1
8.597392700E-2	-1.094940007E-1	3.524259925E-1	3.142249882E-1	4.846961518E-1
9.090100300E-2	-1.094940007E-1	3.524259925E-1	3.142249882E-1	4.846961518E-1
9.582808000E-2	-1.094940007E-1	3.524259925E-1	3.142249882E-1	4.846961518E-1
1.007549410E-1	2.264480114E0	-2.080476999E0	1.062507987E0	3.253487045E0
1.056822480E-1	2.264480114E0	-2.080476999E0	1.062507987E0	3.253487045E0
1.106091080E-1	2.264480114E0	-2.080476999E0	1.062507987E0	3.253487045E0
1.155358780E-1	2.264480114E0	-2.080476999E0	1.062507987E0	3.253487045E0
1.204626470E-1	2.076980114E0	-1.958158970E0	6.503270268E-1	2.927654042E0
1.253896900E-1	2.076980114E0	-1.958158970E0	6.503270268E-1	2.927654042E0
1.303163820E-1	2.076980114E0	-1.958158970E0	6.503270268E-1	2.927654042E0
1.352438440E-1	2.076980114E0	-1.958158970E0	6.503270268E-1	2.927654042E0
1.401714640E-1	2.388766050E0	-1.860733986E0	3.475100100E-1	3.047834874E0
1.450988490E-1	2.388766050E0	-1.860733986E0	3.475100100E-1	3.047834874E0
1.500256750E-1	2.388766050E0	-1.860733986E0	3.475100100E-1	3.047834874E0
1.549526750E-1	2.388766050E0	-1.860733986E0	3.475100100E-1	3.047834874E0
1.598797520E-1	2.164793968E0	-1.978391051E0	-9.031499922E-2	2.934028097E0
1.648071210E-1	2.164793968E0	-1.978391051E0	-9.031499922E-2	2.934028097E0
1.697341980E-1	2.164793968E0	-1.978391051E0	-9.031499922E-2	2.934028097E0
1.746613520E-1	2.164793968E0	-1.978391051E0	-9.031499922E-2	2.934028097E0
1.795881080E-1	1.694028020E0	-1.711189032E0	9.175180197E-1	2.576768936E0
1.845151080E-1	1.694028020E0	-1.711189032E0	9.175180197E-1	2.576768936E0
1.894421790E-1	1.694028020E0	-1.711189032E0	9.175180197E-1	2.576768936E0
1.943693330E-1	1.694028020E0	-1.711189032E0	9.175180197E-1	2.576768936E0
1.992967180E-1	-3.631899878E-2	-1.344882965E0	1.955948949E0	2.373976737E0
2.042237900E-1	-3.631899878E-2	-1.344882965E0	1.955948949E0	2.373976737E0
2.091510980E-1	-3.631899878E-2	-1.344882965E0	1.955948949E0	2.373976737E0
2.140779440E-1	-3.631899878E-2	-1.344882965E0	1.955948949E0	2.373976737E0
2.190056070E-1	-4.419940114E-1	-8.441100121E-1	2.234168053E0	2.428865436E0
2.239338380E-1	-4.419940114E-1	-8.441100121E-1	2.234168053E0	2.428865436E0
2.288609820E-1	-4.419940114E-1	-8.441100121E-1	2.234168053E0	2.428865436E0
2.337882890E-1	-4.419940114E-1	-8.441100121E-1	2.234168053E0	2.428865436E0
2.387150590E-1	-4.737699926E-1	-6.271529794E-1	1.524849057E0	1.715500951E0
2.436422180E-1	-4.737699926E-1	-6.271529794E-1	1.524849057E0	1.715500951E0
2.485692940E-1	-4.737699926E-1	-6.271529794E-1	1.524849057E0	1.715500951E0
2.534966790E-1	-4.737699926E-1	-6.271529794E-1	1.524849057E0	1.715500951E0
2.584240640E-1	-1.018514037E0	-9.687700123E-2	3.085170090E-1	1.068615339E0
2.633514480E-1	-1.018514037E0	-9.687700123E-2	3.085170090E-1	1.068615339E0
2.682788180E-1	-1.018514037E0	-9.687700123E-2	3.085170090E-1	1.068615339E0
2.732064330E-1	-1.018514037E0	-9.687700123E-2	3.085170090E-1	1.068615339E0
2.781332800E-1	-1.094143033E0	8.518739939E-1	5.258629918E-1	1.483027365E0
2.830608810E-1	-1.094143033E0	8.518739939E-1	5.258629918E-1	1.483027365E0
2.879880350E-1	-1.094143033E0	8.518739939E-1	5.258629918E-1	1.483027365E0
2.929154190E-1	-1.094143033E0	8.518739939E-1	5.258629918E-1	1.483027365E0
2.978430730E-1	-4.668070078E-1	7.781550288E-1	5.539140105E-1	1.063134405E0
3.027705340E-1	-4.668070078E-1	7.781550288E-1	5.539140105E-1	1.063134405E0
3.076984380E-1	-4.668070078E-1	7.781550288E-1	5.539140105E-1	1.063134405E0
3.126259000E-1	-4.668070078E-1	7.781550288E-1	5.539140105E-1	1.063134405E0
3.175535150E-1	-7.802789807E-1	2.520030141E-1	1.103728056E0	1.374975065E0
3.224809570E-1	-7.802789807E-1	2.520030141E-1	1.103728056E0	1.374975065E0
3.274085720E-1	-7.802789807E-1	2.520030141E-1	1.103728056E0	1.374975065E0
3.323356490E-1	-7.802789807E-1	2.520030141E-1	1.103728056E0	1.374975065E0
3.372630340E-1	4.356859922E-1	-6.474800110E-1	6.636610031E-1	1.024450377E0
3.421907260E-1	4.356859922E-1	-6.474800110E-1	6.636610031E-1	1.024450377E0
3.471180910E-1	4.356859922E-1	-6.474800110E-1	6.636610031E-1	1.024450377E0
3.520455520E-1	4.356859922E-1	-6.474800110E-1	6.636610031E-1	1.024450377E0
3.569726290E-1	1.091170013E-1	1.060430035E-1	9.250400066E-1	9.374703475E-1
3.618999520E-1	1.091170013E-1	1.060430035E-1	9.250400066E-1	9.374703475E-1
3.668267980E-1	1.091170013E-1	1.060430035E-1	9.250400066E-1	9.374703475E-1
3.717537980E-1	1.091170013E-1	1.060430035E-1	9.250400066E-1	9.374703475E-1
3.766809520E-1	2.645649910E-1	-6.048110127E-1	3.199189901E-1	7.335796861E-1
3.816083370E-1	2.645649910E-1	-6.048110127E-1	3.199189901E-1	7.335796861E-1
3.865357210E-1	2.645649910E-1	-6.048110127E-1	3.199189901E-1	7.335796861E-1
3.914633320E-1	2.645649910E-1	-6.048110127E-1	3.199189901E-1	7.335796861E-1
3.963911010E-1	2.896369994E-1	5.366700143E-2	8.229399920E-1	8.740709175E-1
4.013184090E-1	2.896369994E-1	5.366700143E-2	8.229399920E-1	8.740709175E-1
4.062455630E-1	2.896369994E-1	5.366700143E-2	8.229399920E-1	8.740709175E-1
4.111732550E-1	2.896369994E-1	5.366700143E-2	8.229399920E-1	8.740709175E-1
4.161011780E-1	-9.559149742E-1	5.691890121E-1	-5.750000104E-2	1.114026849E0
4.210288600E-1	-9.559149742E-1	5.691890121E-1	-5.750000104E-2	1.114026849E0
4.259560140E-1	-9.559149742E-1	5.691890121E-1	-5.750000104E-2	1.114026849E0
4.308833990E-1	-9.559149742E-1	5.691890121E-1	-5.750000104E-2	1.114026849E0
4.358110430E-1	-9.559149742E-1	5.691890121E-1	-5.750000104E-2	1.114026849E0
4.407384280E-1	-1.712051034E0	1.539577961E0	-5.081220269E-1	2.357881896E0
4.456655050E-1	-1.712051034E0	1.539577961E0	-5.081220269E-1	2.357881896E0
4.505926830E-1	-1.712051034E0	1.539577961E0	-5.081220269E-1	2.357881896E0
4.555202980E-1	-1.712051034E0	1.539577961E0	-5.081220269E-1	2.357881896E0
4.604480670E-1	-9.289090037E-1	7.043229938E-1	-3.793619871E-1	1.225911226E0
4.653756980E-1	-9.289090037E-1	7.043229938E-1	-3.793619871E-1	1.225911226E0
4.703037750E-1	-9.289090037E-1	7.043229938E-1	-3.793619871E-1	1.225911226E0
4.752316980E-1	-9.289090037E-1	7.043229938E-1	-3.793619871E-1	1.225911226E0
4.801591630E-1	1.200916052E0	1.328603029E0	-1.308279932E-1	1.795689655E0
4.850868550E-1	1.200916052E0	1.328603029E0	-1.308279932E-1	1.795689655E0
4.900147790E-1	1.200916052E0	1.328603029E0	-1.308279932E-1	1.795689655E0
4.949428550E-1	1.200916052E0	1.328603029E0	-1.308279932E-1	1.795689655E0
4.998707790E-1	-1.412387013E0	2.251952887E0	-9.720749855E-1	2.830381362E0
5.047985480E-1	-1.412387013E0	2.251952887E0	-9.720749855E-1	2.830381362E0
5.097264710E-1	-1.412387013E0	2.251952887E0	-9.720749855E-1	2.830381362E0
5.146542400E-1	-1.412387013E0	2.251952887E0	-9.720749855E-1	2.830381362E0
5.195822590E-1	-3.321064949E0	3.726999044E0	-8.540459871E-1	5.064522566E0
5.245102590E-1	-3.321064949E0	3.726999044E0	-8.540459871E-1	5.064522566E0
5.294381970E-1	-3.321064949E0	3.726999044E0	-8.540459871E-1	5.064522566E0
5.343656590E-1	-3.321064949E0	3.726999044E0	-8.540459871E-1	5.064522566E0
5.392933510E-1	-3.306104898E0	3.530999899E0	-1.017310977E0	4.942996208E0
5.442207360E-1	-3.306104898E0	3.530999899E0	-1.017310977E0	4.942996208E0
5.491484280E-1	-3.306104898E0	3.530999899E0	-1.017310977E0	4.942996208E0
5.540755050E-1	-3.306104898E0	3.530999899E0	-1.017310977E0	4.942996208E0
5.590028950E-1	-1.867069960E0	2.867089033E0	-1.471264958E0	3.724348310E0
5.639305100E-1	-1.867069960E0	2.867089033E0	-1.471264958E0	3.724348310E0
5.688579720E-1	-1.867069960E0	2.867089033E0	-1.471264958E0	3.724348310E0
5.737858950E-1	-1.867069960E0	2.867089033E0	-1.471264958E0	3.724348310E0
5.787133560E-1	-1.061571956E0	1.979702950E0	-2.366681099E0	3.263025928E0
5.836406540E-1	-1.061571956E0	1.979702950E0	-2.366681099E0	3.263025928E0
5.885677310E-1	-1.061571956E0	1.979702950E0	-2.366681099E0	3.263025928E0
5.934951920E-1	-1.061571956E0	1.979702950E0	-2.366681099E0	3.263025928E0
5.984225820E-1	-1.127997994E0	1.340278029E0	-2.509778023E0	3.060671560E0
6.033496590E-1	-1.127997994E0	1.340278029E0	-2.509778023E0	3.060671560E0
6.082770580E-1	-1.127997994E0	1.340278029E0	-2.509778023E0	3.060671560E0
6.132044420E-1	-1.127997994E0	1.340278029E0	-2.509778023E0	3.060671560E0
6.181320580E-1	-1.433823943E0	1.084038019E0	-1.217679024E0	2.171113017E0
6.230606730E-1	-1.433823943E0	1.084038019E0	-1.217679024E0	2.171113017E0
6.279890580E-1	-1.433823943E0	1.084038019E0	-1.217679024E0	2.171113017E0
6.329167500E-1	-1.433823943E0	1.084038019E0	-1.217679024E0	2.171113017E0
6.378447740E-1	-9.311469793E-1	4.206900001E-1	-8.432400227E-2	1.025244025E0
6.427723890E-1	-9.311469793E-1	4.206900001E-1	-8.432400227E-2	1.025244025E0
6.476995290E-1	-9.311469793E-1	4.206900001E-1	-8.432400227E-2	1.025244025E0
6.526272220E-1	-9.311469793E-1	4.206900001E-1	-8.432400227E-2	1.025244025E0
6.575548370E-1	3.505870104E-1	-5.400080085E-1	2.553389966E-1	6.926167081E-1
6.624822170E-1	3.505870104E-1	-5.400080085E-1	2.553389966E-1	6.926167081E-1
6.674090630E-1	3.505870104E-1	-5.400080085E-1	2.553389966E-1	6.926167081E-1
6.723363700E-1	3.505870104E-1	-5.400080085E-1	2.553389966E-1	6.926167081E-1
6.772635050E-1	1.277466059E0	-7.152670026E-1	-2.299000025E-1	1.482019037E0
6.821911210E-1	1.277466059E0	-7.152670026E-1	-2.299000025E-1	1.482019037E0
6.871188320E-1	1.277466059E0	-7.152670026E-1	-2.299000025E-1	1.482019037E0
6.920464470E-1	1.277466059E0	-7.152670026E-1	-2.299000025E-1	1.482019037E0
6.969736010E-1	4.171130061E-1	-4.513800144E-2	-8.141300082E-1	9.158757390E-1
7.019006780E-1	4.171130061E-1	-4.513800144E-2	-8.141300082E-1	9.158757390E-1
7.068282940E-1	4.171130061E-1	-4.513800144E-2	-8.141300082E-1	9.158757390E-1
7.117556780E-1	4.171130061E-1	-4.513800144E-2	-8.141300082E-1	9.158757390E-1
7.166830630E-1	-8.970839977E-1	5.393790007E-1	-1.228183985E0	1.613730246E0
7.216104470E-1	-8.970839977E-1	5.393790007E-1	-1.228183985E0	1.613730246E0
7.265381400E-1	-8.970839977E-1	5.393790007E-1	-1.228183985E0	1.613730246E0
7.314655240E-1	-8.970839977E-1	5.393790007E-1	-1.228183985E0	1.613730246E0
7.363926780E-1	-1.191892028E0	4.398129880E-1	-4.373250008E-1	1.343612752E0
7.413200630E-1	-1.191892028E0	4.398129880E-1	-4.373250008E-1	1.343612752E0
7.462473710E-1	-1.191892028E0	4.398129880E-1	-4.373250008E-1	1.343612752E0
7.511748320E-1	-1.191892028E0	4.398129880E-1	-4.373250008E-1	1.343612752E0
7.561019090E-1	-8.418650031E-1	-2.057189941E-1	1.153025031E0	1.442402063E0
7.610295390E-1	-8.418650031E-1	-2.057189941E-1	1.153025031E0	1.442402063E0
7.659570010E-1	-8.418650031E-1	-2.057189941E-1	1.153025031E0	1.442402063E0
7.708846930E-1	-8.418650031E-1	-2.057189941E-1	1.153025031E0	1.442402063E0
7.758127030E-1	-8.418650031E-1	-2.057189941E-1	1.153025031E0	1.442402063E0
7.807406260E-1	9.703399986E-2	-6.772890091E-1	1.575487971E0	1.717643254E0
7.856680110E-1	9.703399986E-2	-6.772890091E-1	1.575487971E0	1.717643254E0
7.905954870E-1	9.703399986E-2	-6.772890091E-1	1.575487971E0	1.717643254E0
7.955227940E-1	9.703399986E-2	-6.772890091E-1	1.575487971E0	1.717643254E0
8.004505640E-1	-2.615190148E-1	-3.561129868E-1	7.705360055E-1	8.882197871E-1
8.053781740E-1	-2.615190148E-1	-3.561129868E-1	7.705360055E-1	8.882197871E-1
8.103055590E-1	-2.615190148E-1	-3.561129868E-1	7.705360055E-1	8.882197871E-1
8.152330200E-1	-2.615190148E-1	-3.561129868E-1	7.705360055E-1	8.882197871E-1
8.201604000E-1	-8.921999931E-1	-3.881800175E-2	-8.644700050E-2	8.972183396E-1
8.250880920E-1	-8.921999931E-1	-3.881800175E-2	-8.644700050E-2	8.972183396E-1
8.300151690E-1	-8.921999931E-1	-3.881800175E-2	-8.644700050E-2	8.972183396E-1
8.349421690E-1	-8.921999931E-1	-3.881800175E-2	-8.644700050E-2	8.972183396E-1
8.398692460E-1	-4.672229886E-1	-4.051399976E-2	-9.267269969E-1	1.038634504E0
8.447966310E-1	-4.672229886E-1	-4.051399976E-2	-9.267269969E-1	1.038634504E0
8.497237840E-1	-4.672229886E-1	-4.051399976E-2	-9.267269969E-1	1.038634504E0
8.546514000E-1	-4.672229886E-1	-4.051399976E-2	-9.267269969E-1	1.038634504E0
8.595782410E-1	3.458540142E-1	-1.277620047E-1	-1.097776055E0	1.158037304E0
8.645046260E-1	3.458540142E-1	-1.277620047E-1	-1.097776055E0	1.158037304E0
8.694314720E-1	3.458540142E-1	-1.277620047E-1	-1.097776055E0	1.158037304E0
8.743582410E-1	3.458540142E-1	-1.277620047E-1	-1.097776055E0	1.158037304E0
8.792853180E-1	-1.312610060E-1	-6.543800235E-2	-1.522450000E-1	2.114003876E-1
8.842126120E-1	-1.312610060E-1	-6.543800235E-2	-1.522450000E-1	2.114003876E-1
8.891393810E-1	-1.312610060E-1	-6.543800235E-2	-1.522450000E-1	2.114003876E-1
8.940662270E-1	-1.312610060E-1	-6.543800235E-2	-1.522450000E-1	2.114003876E-1
8.989930010E-1	-4.325779974E-1	2.710900083E-2	1.036481023E0	1.123455176E0
9.039194630E-1	-4.325779974E-1	2.710900083E-2	1.036481023E0	1.123455176E0
9.088462030E-1	-4.325779974E-1	2.710900083E-2	1.036481023E0	1.123455176E0
9.137732800E-1	-4.325779974E-1	2.710900083E-2	1.036481023E0	1.123455176E0
9.187000530E-1	-6.132159829E-1	-2.459560037E-1	1.324928999E0	1.480528639E0
9.236268230E-1	-6.132159829E-1	-2.459560037E-1	1.324928999E0	1.480528639E0
9.285536690E-1	-6.132159829E-1	-2.459560037E-1	1.324928999E0	1.480528639E0
9.334807800E-1	-6.132159829E-1	-2.459560037E-1	1.324928999E0	1.480528639E0
9.384071640E-1	1.307100058E-1	-3.158969879E-1	4.156570137E-1	5.381884109E-1
9.433340100E-1	1.307100058E-1	-3.158969879E-1	4.156570137E-1	5.381884109E-1
9.482612990E-1	1.307100058E-1	-3.158969879E-1	4.156570137E-1	5.381884109E-1
9.531883760E-1	1.307100058E-1	-3.158969879E-1	4.156570137E-1	5.381884109E-1
9.581154530E-1	4.133899882E-2	-3.461450040E-1	-8.402899653E-2	3.585891087E-1
9.630425970E-1	4.133899882E-2	-3.461450040E-1	-8.402899653E-2	3.585891087E-1
9.679696740E-1	4.133899882E-2	-3.461450040E-1	-8.402899653E-2	3.585891087E-1
9.728967510E-1	4.133899882E-2	-3.461450040E-1	-8.402899653E-2	3.585891087E-1
9.778238180E-1	-1.883620024E-1	-5.391619802E-1	2.914699912E-2	5.718613751E-1
9.827514330E-1	-1.883620024E-1	-5.391619802E-1	2.914699912E-2	5.718613751E-1
9.876785140E-1	-1.883620024E-1	-5.391619802E-1	2.914699912E-2	5.718613751E-1
9.926053600E-1	-1.883620024E-1	-5.391619802E-1	2.914699912E-2	5.718613751E-1
9.975324370E-1	-5.362800136E-2	-7.152770162E-1	-1.319880038E-1	7.293270909E-1
1.002459129E0	-5.362800136E-2	-7.152770162E-1	-1.319880038E-1	7.293270909E-1
1.007385899E0	-5.362800136E-2	-7.152770162E-1	-1.319880038E-1	7.293270909E-1
1.012312976E0	-5.362800136E-2	-7.152770162E-1	-1.319880038E-1	7.293270909E-1
1.017240049E0	-3.289670050E-1	-5.725719929E-1	2.343810052E-1	7.007085221E-1
1.022166818E0	-3.289670050E-1	-5.725719929E-1	2.343810052E-1	7.007085221E-1
1.027093683E0	-3.289670050E-1	-5.725719929E-1	2.343810052E-1	7.007085221E-1
1.032020760E0	-3.289670050E-1	-5.725719929E-1	2.343810052E-1	7.007085221E-1
